,0
0,0.048246867573038976
1,0.18112936099446775
2,0.09958922379257018
3,0.32865150715437474
4,0.07953545071649228
5,0.07857293041092805
6,0.1712845495050841
7,0.022422292483996742
8,0.21019652800877286
9,0.40677406147801976
10,0.09323756417835849
11,0.09985070885625413
12,0.036966998174214505
13,0.06638775497121319
14,0.045015058162122944
15,0.25010049285534586
16,0.2672382173263284
17,0.020215686886578543
18,0.26761146452931817
19,0.0791806562643132
20,0.02921105590048545
21,0.025301337816174958
22,0.3337949308740371
23,0.7057849299360226
24,0.046315474707196935
25,0.12824121778772857
26,0.033060986623267716
27,0.08079701135640227
28,0.0364815992174472
29,0.14516374456623415
30,0.24100585816070086
