,0
0,0.011604812454455047
1,0.02933208222567696
2,0.00075339549683332
3,0.013009143158607017
4,0.005828198526031844
5,0.018813244376678678
6,0.0043505149771586255
7,0.003537757460668537
8,0.019353435424548687
9,0.009710612326491778
10,0.007483677987609569
11,0.0025645838727617527
12,0.0008441033743613223
13,0.0010948624771170096
14,0.007915874918936661
15,0.009303444561359493
16,0.017282020913870745
17,0.0014579992293674389
18,0.026596346013748162
19,0.001858269061009816
20,0.0012382089316932186
21,0.0020612087142891184
22,0.005734725027117304
23,0.024192650642592867
24,0.0020699816544536833
25,0.004663094599735456
26,0.0010135779354336842
27,0.018174209209035837
28,0.001569343091444983
29,0.016174265168884247
30,0.00793312538698155
