,0
0,0.03296989810871731
1,0.073734792744933
2,0.029255393338912694
3,0.03341713183785716
4,0.016709005737081645
5,0.04817385117783263
6,0.027884738841950085
7,0.03158114622967879
8,0.36590801408501633
9,0.10843629772539898
10,0.08584593657296224
11,0.05469918580596844
12,0.033468829650881604
13,0.03141064411453187
14,0.010968784449912894
15,0.02307896379685026
16,0.04910966912202219
17,0.05509555408452477
18,0.07591356219130074
19,0.029299480449070936
20,0.01359306638871971
21,0.00870942181585399
22,0.2797586958983358
23,0.4767268351676077
24,0.03450058820037516
25,0.08681305082479729
26,0.0217639113416217
27,0.04459641013669547
28,0.01558818404366813
29,0.1265695190287659
30,0.17722830313958338
