,0
0,0.9999993322917277
1,0.9999999582847746
2,0.999999886118918
3,0.9999975915284475
4,0.9999997810841953
5,0.9999997666214206
6,0.9999995996674176
7,0.9999052390334165
8,0.99978590384955
9,0.9814967612337426
10,0.9953562260130676
11,0.9993272996595198
12,0.999088156115677
13,0.9999865490177219
14,0.9999999261115541
15,0.9999984930246837
16,0.9999905694924981
17,0.9991415358033399
18,0.9998664097248037
19,0.9990536594816148
20,0.9999947270299412
21,0.999999457326207
22,0.9979817432089548
23,0.9998750456661077
24,0.999857442674107
25,0.9999797618286178
26,0.9999950627152184
27,0.9999990816201406
28,0.998868961002409
29,0.9995720741559456
30,0.9995629285462926
