,0
0,3.1051000933396194e-05
1,1.7865420414913958e-05
2,9.436404330382434e-06
3,2.6642703067955356e-05
4,1.0128242017406745e-05
5,1.6186178957826857e-05
6,1.2322032579176165e-05
7,1.1064184088135538e-05
8,0.0014525486178031078
9,3.532128609706475e-06
10,4.682072446528126e-06
11,3.2014970204365328e-06
12,3.0240820136205108e-06
13,3.756614196315338e-05
14,1.0509899602072448e-05
15,4.3625011990586756e-05
16,3.412806716915566e-05
17,8.929971411495561e-06
18,0.0009256688144327006
19,1.77628367597537e-06
20,2.9204041891757187e-05
21,1.9015484424960103e-05
22,3.0863356710714653e-06
23,9.439870869934494e-06
24,4.7715565128154445e-06
25,0.00019656374638624767
26,6.983580277812653e-06
27,0.00024005315778742082
28,3.5058031529710517e-06
29,1.246575829634378e-05
30,7.485011988355925e-06
