,0
0,2.4303640997680886e-05
1,1.3079210233280674e-05
2,8.28480149895219e-06
3,1.707067140454998e-05
4,9.371653721305579e-06
5,1.8368448091165065e-05
6,7.69976632908269e-06
7,9.648540781641562e-06
8,0.0011997145921831991
9,3.6561076069693452e-06
10,4.080137587627849e-06
11,2.8238057662243535e-06
12,2.9307462784234145e-06
13,3.9855602636159166e-05
14,1.140804692380614e-05
15,3.803342124604492e-05
16,2.3269857628100366e-05
17,6.063234136717677e-06
18,0.0008062351473666811
19,2.114865852318003e-06
20,3.144312705757668e-05
21,1.8029558692613734e-05
22,3.193336538792446e-06
23,1.1328845251443472e-05
24,5.253060800849319e-06
25,0.00024419938634129843
26,8.804959917864257e-06
27,0.00014624229136529196
28,2.983806045857088e-06
29,1.224053466739889e-05
30,5.69808328215305e-06
