,0
0,0.0007058241500551565
1,0.003046046298758931
2,0.0033955169587894796
3,0.0005840392928420091
4,0.0006198167264346022
5,0.0005693547761439488
6,0.0005781226409896645
7,0.00047037193033527824
8,0.010058952915388608
9,0.004823786608596781
10,0.0031373226868014192
11,0.0020853928325367255
12,0.0017377196049753185
13,0.0007862017559908674
14,0.00027476334897097443
15,0.001009911934057417
16,0.0006181157904980306
17,0.001454545126661766
18,0.00687253632394369
19,0.001389373612329381
20,0.0008168599839821766
21,0.0003569907619417334
22,0.0036724063149552455
23,0.005261449513504379
24,0.0007060102316036598
25,0.0027675196674191715
26,0.0013140370025812587
27,0.002405073798382784
28,0.0028296365207177987
29,0.002917250284881188
30,0.0024500342112417917
