,0
0,0.03654502084867495
1,0.1314666466509622
2,0.08172731684738777
3,0.24898847156066986
4,0.06301480090688152
5,0.055680784792582205
6,0.13032731152749255
7,0.018691076180462673
8,0.18521716676766942
9,0.3607622945658142
10,0.06739935213711101
11,0.08689093617552834
12,0.036783846985427304
13,0.05578853770657821
14,0.02775888628207843
15,0.1877734879320363
16,0.2039656246672999
17,0.02859801008170415
18,0.24326052854801072
19,0.07036273584024044
20,0.02455552219625662
21,0.017247042827048704
22,0.2743087204767549
23,0.572530542993841
24,0.03798723055373815
25,0.10295767988569371
26,0.029352004634844688
27,0.07864565082042729
28,0.03900520351529779
29,0.12545188357688297
30,0.20363407692412205
