,0
0,0.9999998667532538
1,0.9999990905948098
2,0.9999998228688376
3,0.9999999436423344
4,0.9999999833946607
5,0.9999999584394746
6,0.999999972193161
7,0.999999563695504
8,0.9997821225332512
9,0.9914211230317672
10,0.9996097989370276
11,0.9999591329107745
12,0.9999642149322636
13,0.9999877175616653
14,0.9999999782925303
15,0.9999995858831748
16,0.9999999604564282
17,0.9999679412407979
18,0.9997482507025214
19,0.9999600064617238
20,0.9999957898044413
21,0.9999995805127291
22,0.9997032634674002
23,0.9999401924941438
24,0.9999669578135586
25,0.9999800486842383
26,0.9999952589826
27,0.999992464834239
28,0.9999495584433286
29,0.999670163910474
30,0.999844962183534
