,0
0,0.4925697177135878
1,0.053330527795214966
2,0.0826497556489954
3,0.1427501578828682
4,0.9739654667529878
5,0.18653582708384941
6,0.1098966842069562
7,-0.42210503930568416
8,-2.4547700810524815
9,0.24020657655258942
10,0.15265619866733288
11,0.06537998308683735
12,0.09460221948444374
13,-0.010970091964858321
14,0.18069416758031398
15,0.21664267519889868
16,0.052462281824255164
17,0.11268810958889387
18,-2.109947005165792
19,0.10438569855851448
20,0.016263806955053348
21,-1.3309263687527961
22,-0.002733053130442273
23,-0.08101701263447729
24,0.013959307719187146
25,-0.8340054472213259
26,0.009839385343980003
27,-0.34559586702669765
28,0.07523373956906011
29,0.039090643167018095
30,-0.0041480807568616395
