,0
0,0.6478005824471637
1,0.1388857492928881
2,0.05810318733411546
3,0.0862350681664364
4,0.7547055901761412
5,0.18518143548270785
6,0.34812496974133766
7,0.08672406820443113
8,0.20232702183253382
9,0.02013247651523074
10,0.03271718312539877
11,0.020531327905504784
12,0.03325563152265003
13,0.010152247211518639
14,0.17872888899979567
15,0.26277483570756305
16,0.10762221942333922
17,0.07221143985870289
18,0.4694207460560495
19,0.04319629564437197
20,0.044887866370316984
21,0.0887862371756584
22,0.0023239341392459157
23,-0.002712162303142817
24,0.014648741512273794
25,0.1937558363381835
26,0.02344230210593367
27,0.22389109225828752
28,0.02010179398618813
29,0.023465258750544282
30,0.00959414674307253
