,0
0,0.4312321453675392
1,-0.007082589066748524
2,0.011464176541803317
3,0.03923109430064123
4,1.0545539860995097
5,0.012635046615077916
6,0.00914173007701341
7,0.11109838649098996
8,0.29290615810271603
9,0.04717831450635792
10,0.0695438219747888
11,0.02130678938209603
12,0.042017091545664687
13,0.01247757655214254
14,0.1558002533141506
15,-0.01848529558270645
16,0.06670551654343959
17,0.06167414232916955
18,0.06190249045050593
19,0.05327303954980084
20,0.027131656276992856
21,0.01435971005252358
22,-0.00378328749274473
23,-0.017992851222775774
24,-0.00045359009088723787
25,0.00991500005454389
26,0.004338085803572448
27,0.15324776985998378
28,0.03808459642480427
29,0.027986209653946062
30,0.0022004061804741064
